username,komentar,clean_comment,stem_comment,tokens,label
dadan.darmawann16,Ahooookkkķk,ahooookkkk,ahooookkkk,['ahooookkkk'],netral
surya_yogaswara,AB&BTP🔥🔥🔥,abbtp,abbtp,['abbtp'],netral
medv.edev385,Ga yakin..,ga,ga,['ga'],netral
helloadam99,ORANG KAMPUNG PILIH ANIES,orang kampung pilih anies,orang kampung pilih anies,"['orang', 'kampung', 'pilih', 'anies']",netral
betalagi1002,"Sekelas mantan Panglima, mensos cuma 1%, sama dgn Kaesang 😂😂😂😂",sekelas mantan panglima mensos dgn kaesang,kelas mantan panglima mensos dgn kaesang,"['kelas', 'mantan', 'panglima', 'mensos', 'dgn', 'kaesang']",netral
yefri.as_p,Karung Goni mana 😂,karung goni,karung goni,"['karung', 'goni']",netral
riswadi_salam,Sya pilih heru budi untuk kemajuan jakarta😂,sya pilih heru budi kemajuan jakarta,sya pilih heru budi maju jakarta,"['sya', 'pilih', 'heru', 'budi', 'maju', 'jakarta']",netral
dee_sasta,Pak Erick🔥🔥🔥👏👏,erick,erick,['erick'],netral
mandaladewa1989,Waduh jangan ahok lagi bosen lihat demo berjilid jilid lagi😢,ahok bosen lihat demo berjilid jilid,ahok bosen lihat demo jilid jilid,"['ahok', 'bosen', 'lihat', 'demo', 'jilid', 'jilid']",netral
mangworkout26,Anies vs Ahok atau Duet Ahok - Anies ? hahaja,anies vs ahok duet ahok anies hahaja,anies vs ahok duet ahok anies hahaja,"['anies', 'vs', 'ahok', 'duet', 'ahok', 'anies', 'hahaja']",netral
eric.ef10,Anies - Ahok 🔥,anies ahok,anies ahok,"['anies', 'ahok']",netral
mariuslastyono,Peroode survey 15 sd 20 juli 2024?,peroode survey sd juli,peroode survey sd juli,"['peroode', 'survey', 'sd', 'juli']",netral
alx_asg,😂😂😂😂 wan Abud bisa rangking satu? 😂 Lawak nih.,wan abud rangking lawak nih,wan abud rangking lawak nih,"['wan', 'abud', 'rangking', 'lawak', 'nih']",negatif
agg_widyani,gue pilih ahok dan heru,gue pilih ahok heru,gue pilih ahok heru,"['gue', 'pilih', 'ahok', 'heru']",netral
__maolana,Cek jejak rekam bos jgn katanya,cek jejak rekam bos jgn,cek jejak rekam bos jgn,"['cek', 'jejak', 'rekam', 'bos', 'jgn']",netral
dealovarsy,"Menurutku, Pak ahok better maju as gubernur sumut, gagalin tuh dinasti yg mau dibangun disana",menurutku ahok better maju as gubernur sumut gagalin tuh dinasti yg dibangun disana,turut ahok better maju as gubernur sumut gagalin tuh dinasti yg bangun sana,"['turut', 'ahok', 'better', 'maju', 'as', 'gubernur', 'sumut', 'gagalin', 'tuh', 'dinasti', 'yg', 'bangun', 'sana']",positif
ardhitya_sw,RK + AHOK Gacor sih... 😂,rk ahok gacor sih,rk ahok gacor sih,"['rk', 'ahok', 'gacor', 'sih']",netral
fitriyahfebsalsa09,Smpe kaesang yg menang. Bner bner dah,smpe kaesang yg menang bner bner dah,smpe kaesang yg menang bner bner dah,"['smpe', 'kaesang', 'yg', 'menang', 'bner', 'bner', 'dah']",netral
utchup_levy,"Ti mentri aktip lumpat ka pilkada, konsepna kumaha eta nya 😂😂😂",ti mentri aktip lumpat ka pilkada konsepna kumaha eta nya,ti tri aktip lumpat ka pilkada konsepna maha eta nya,"['ti', 'tri', 'aktip', 'lumpat', 'ka', 'pilkada', 'konsepna', 'maha', 'eta', 'nya']",netral
mahfudst,Perasaan ada yg prnah bilang klo Kaesang surveinya tinggi di Ibu Kota.,perasaan yg prnah bilang klo kaesang surveinya kota,asa yg prnah bilang klo kaesang survei kota,"['asa', 'yg', 'prnah', 'bilang', 'klo', 'kaesang', 'survei', 'kota']",netral
ig.2017,pantes aja carut marut,pantes aja carut marut,pantes aja carut marut,"['pantes', 'aja', 'carut', 'marut']",netral
ardhitya_sw,"Itu abang Kaesang Nyalonin aja Ntar hasilnya jadi dpt 58,2% Suara... Percaya dah😂",abang kaesang nyalonin aja ntar hasilnya dpt suara percaya dah,abang kaesang nyalonin aja ntar hasil dpt suara percaya dah,"['abang', 'kaesang', 'nyalonin', 'aja', 'ntar', 'hasil', 'dpt', 'suara', 'percaya', 'dah']",netral
rafraj_00,Kalau sekarang kira2 anak abah percaya surveikah? Soalnya pas pilpres kemarinkan pada ga percaya survei. 😂😂😂,anak abah percaya surveikah pas pilpres kemarinkan ga percaya survei,anak abah percaya survei pas pilpres kemarin ga percaya survei,"['anak', 'abah', 'percaya', 'survei', 'pas', 'pilpres', 'kemarin', 'ga', 'percaya', 'survei']",netral
notforfun24,Ahok terbaik . Anies gak bisa kerja . Cuman omon omon omon 😂😂😂.,ahok terbaik anies gak kerja cuman omon omon omon,ahok baik anies gak kerja cuman omon omon omon,"['ahok', 'baik', 'anies', 'gak', 'kerja', 'cuman', 'omon', 'omon', 'omon']",netral
rahmanineti,Nah ini survey beneran,survey beneran,survey beneran,"['survey', 'beneran']",netral
zulhan_zain,Anaknya ketua PAN kok tdk ada dalam daftar 😂,anaknya ketua pan tdk daftar,anak ketua pan tdk daftar,"['anak', 'ketua', 'pan', 'tdk', 'daftar']",netral
chuntan46,Ahok BTP 🔥❤️,ahok btp,ahok btp,"['ahok', 'btp']",netral
zoel_azham02,"Menurut mahfud md yg saat itu jd kemenhumkam,ahok sudah tdk bisa lg jd pejabat negara",mahfud md yg jd kemenhumkamahok tdk lg jd pejabat negara,mahfud md yg jd kemenhumkamahok tdk lg jd jabat negara,"['mahfud', 'md', 'yg', 'jd', 'kemenhumkamahok', 'tdk', 'lg', 'jd', 'jabat', 'negara']",netral
vicky_ats,Tak gendong kmana mana tak gendong kmana mana,gendong kmana gendong kmana,gendong kmana gendong kmana,"['gendong', 'kmana', 'gendong', 'kmana']",netral
putuwahyudi75,😂😂😂makin banyak gorong gorongnya,gorong gorongnya,gorong gorongnya,"['gorong', 'gorongnya']",netral
amsal_sumarlin,Ini kumparan ma Buzzer anies dari Pilpers ma emang.  Yakin beliau bs naik,kumparan ma buzzer anies pilpers ma emang beliau bs,kumpar ma buzzer anies pilpers ma emang beliau bs,"['kumpar', 'ma', 'buzzer', 'anies', 'pilpers', 'ma', 'emang', 'beliau', 'bs']",netral
ndankcr7,Sekarang aja bru tgl 16 juli 🗿,aja bru tgl juli,aja bru tgl juli,"['aja', 'bru', 'tgl', 'juli']",netral
info.pusat.jogja,Meskipun anak ksayangan negara 1% ujungnya juga bakal menang kok bisa diatur mah itu.,anak ksayangan negara ujungnya menang diatur mah,anak ksayangan negara ujung menang atur mah,"['anak', 'ksayangan', 'negara', 'ujung', 'menang', 'atur', 'mah']",netral
alwntfk,Anak presiden gatau malu,anak presiden gatau malu,anak presiden gatau malu,"['anak', 'presiden', 'gatau', 'malu']",netral
valiant.holy,dukung,dukung,dukung,['dukung'],netral
daffa_channel46,Pak anies 🔥🔥🔥👏👏👏,anies,anies,['anies'],netral
dikkyhrdn,ternyata cuman se level gub 👏,cuman level gub,cuman level gub,"['cuman', 'level', 'gub']",netral
yayansaputra26,Abah Anies bismillah 🔥,abah anies bismillah,abah anies bismillah,"['abah', 'anies', 'bismillah']",netral
zahidakmal_94,😍,,,[],netral
edi_su6357,Si 🐸🐸🐸 cuma 1%😂😂😂,si,si,['si'],netral
cakrochim,Anies-Ahok jadi satu keren kali ya😍,aniesahok keren kali ya,aniesahok keren kali ya,"['aniesahok', 'keren', 'kali', 'ya']",netral
m_rizky_pratama_almahbub,"Plis lah terserah mau ahok atau anis, maju di jabar aja😢",plis terserah ahok anis maju jabar aja,plis serah ahok anis maju jabar aja,"['plis', 'serah', 'ahok', 'anis', 'maju', 'jabar', 'aja']",netral
wali_sukma_abadi,Udah paling bener -- Rematch aja anies- ahok..🔥🔥🔥,udah bener rematch aja anies ahok,udah bener rematch aja anies ahok,"['udah', 'bener', 'rematch', 'aja', 'anies', 'ahok']",netral
zaputpoen,yukk pak anis maju lg... kalo kalah kan msh bisa nyalon kades😂,yukk anis maju lg kalo kalah msh nyalon kades,yukk anis maju lg kalo kalah msh nyalon kades,"['yukk', 'anis', 'maju', 'lg', 'kalo', 'kalah', 'msh', 'nyalon', 'kades']",netral
diditcempaka,Hanya 400 responden .....yang layak di adu tanding Anis dan Ahok ....ke dua nya sekarang antitesa Jokowi,responden layak adu tanding anis ahok nya antitesa jokowi,responden layak adu tanding anis ahok nya antitesa jokowi,"['responden', 'layak', 'adu', 'tanding', 'anis', 'ahok', 'nya', 'antitesa', 'jokowi']",netral
azis_muslim.30,Yakin itu anak pak de mau nyalonin sama babah alun? 1%,anak de nyalonin babah alun,anak de nyalonin babah alun,"['anak', 'de', 'nyalonin', 'babah', 'alun']",netral
eventsob,Ahok - Andika : gimana ?,ahok andika gimana,ahok andika gimana,"['ahok', 'andika', 'gimana']",netral
jhosseph_v,AHOK Yezzz,ahok yezzz,ahok yezzz,"['ahok', 'yezzz']",netral
atlas098,Anies yes..fr sunter..,anies yesfr sunter,anies yesfr sunter,"['anies', 'yesfr', 'sunter']",netral
margaretha.52,Anies lah,anies,anies,['anies'],netral
andi_apachun,Kompas tandain ya.masa anak bungsu presiden cuma 1%.,kompas tandain yamasa anak bungsu presiden,kompas tandain yamasa anak bungsu presiden,"['kompas', 'tandain', 'yamasa', 'anak', 'bungsu', 'presiden']",netral
vujidharmawan,Ahok tapi mau coba di medan,ahok coba medan,ahok coba medan,"['ahok', 'coba', 'medan']",netral
derbudi,Selera warga Jakarta,selera warga jakarta,selera warga jakarta,"['selera', 'warga', 'jakarta']",netral
ongenih,Heru gimna heru,heru gimna heru,heru gimna heru,"['heru', 'gimna', 'heru']",netral
munjaina,Abah mantap,abah mantap,abah mantap,"['abah', 'mantap']",netral
fariz_rizki13,Itu yg 1% paling bawah lu ye jon  😂😂,yg lu ye jon,yg lu ye jon,"['yg', 'lu', 'ye', 'jon']",netral
cvdesain.id,Ridwan kamil bagus sih. Tapi yang lain aja juga gapapa 🔥,ridwan kamil bagus sih aja gapapa,ridwan kamil bagus sih aja gapapa,"['ridwan', 'kamil', 'bagus', 'sih', 'aja', 'gapapa']",netral
ra6naroc,Hebat jg Kaesang bisa nyamain org2 hebat,hebat jg kaesang nyamain org hebat,hebat jg kaesang nyamain org hebat,"['hebat', 'jg', 'kaesang', 'nyamain', 'org', 'hebat']",netral
lebanty19,Realistis,realistis,realistis,['realistis'],netral
lord_andra09,Pelan-pelan ko'  🐃🚩⭐🤟🏻🔥,pelanpelan ko,pelanpelan ko,"['pelanpelan', 'ko']",netral
dikirahman01,Hahaha,hahaha,hahaha,['hahaha'],positif
setiajit9,"Rasanya rakyat sdh bosan dg benturan saling menjelekkan di era demokrasi yg bebas bersuara, kayaknya ada pengajian ada kebaktian yg dibahas sdh perkelahian, shg pilpres pileg baru usai ada perpecahan lg di Pilkada, lama2 bs berantakan negara ini, semoga tidak demikian, ini krn cinta sy kepada Bangsa dan Negara RI,",rakyat sdh bosan dg benturan menjelekkan era demokrasi yg bebas bersuara kayaknya pengajian kebaktian yg dibahas sdh perkelahian shg pilpres pileg perpecahan lg pilkada bs berantakan negara semoga krn cinta sy bangsa negara ri,rakyat sdh bosan dg bentur jelek era demokrasi yg bebas suara kayak aji bakti yg bahas sdh kelahi shg pilpres pileg pecah lg pilkada bs beranta negara moga krn cinta sy bangsa negara ri,"['rakyat', 'sdh', 'bosan', 'dg', 'bentur', 'jelek', 'era', 'demokrasi', 'yg', 'bebas', 'suara', 'kayak', 'aji', 'bakti', 'yg', 'bahas', 'sdh', 'kelahi', 'shg', 'pilpres', 'pileg', 'pecah', 'lg', 'pilkada', 'bs', 'beranta', 'negara', 'moga', 'krn', 'cinta', 'sy', 'bangsa', 'negara', 'ri']",netral
d_conan45,Anies Baswedan - Ahok ❤️,anies baswedan ahok,anies baswedan ahok,"['anies', 'baswedan', 'ahok']",netral
petrusta,Anis vs ahok aja tapi ga pake isu agama dan ras. Tanpa paksaan bener bener hati nurani. Bisa ga kira2,anis vs ahok aja ga pake isu agama ras paksaan bener bener hati nurani ga,anis vs ahok aja ga pake isu agama ras paksa bener bener hati nurani ga,"['anis', 'vs', 'ahok', 'aja', 'ga', 'pake', 'isu', 'agama', 'ras', 'paksa', 'bener', 'bener', 'hati', 'nurani', 'ga']",netral
agnwboo,"Plis, Anies - Ahok",plis anies ahok,plis anies ahok,"['plis', 'anies', 'ahok']",netral
cebonglite,Jadi inget pas pilpres kemaren Anies kagak percaya survey Litbang kompas...😂😂😂😂,inget pas pilpres kemaren anies kagak percaya survey litbang kompas,inget pas pilpres kemaren anies kagak percaya survey litbang kompas,"['inget', 'pas', 'pilpres', 'kemaren', 'anies', 'kagak', 'percaya', 'survey', 'litbang', 'kompas']",netral
hendra_hutauruk15,"kalo udh ahok turun, bisa jadi 68%",kalo udh ahok turun,kalo udh ahok turun,"['kalo', 'udh', 'ahok', 'turun']",netral
asepsuhendar963,Yg warga jakarta ngacung 😂,yg warga jakarta ngacung,yg warga jakarta ngacung,"['yg', 'warga', 'jakarta', 'ngacung']",netral
jos_agunghb,Ahok - ridwan.... josss 😍,ahok ridwan josss,ahok ridwan josss,"['ahok', 'ridwan', 'josss']",netral
dwia856,😂😂,,,[],netral
chemetery_gates,Orang2nya circle nya itu2 aja....kaga ada apa calon dari kalangan marjinal,orangnya circle nya ajakaga calon kalangan marjinal,orang circle nya ajakaga calon kalang marjinal,"['orang', 'circle', 'nya', 'ajakaga', 'calon', 'kalang', 'marjinal']",netral
hldmarz,Itu siapa dah yg vote milih heru budi? 😂,dah yg vote milih heru budi,dah yg vote milih heru budi,"['dah', 'yg', 'vote', 'milih', 'heru', 'budi']",netral
rcardo_603l703m,Gubernurnya Ridwan kamil wakilnya Basuki cahaya purnama cocok gak?,gubernurnya ridwan kamil wakilnya basuki cahaya purnama cocok gak,gubernur ridwan kamil wakil basuki cahaya purnama cocok gak,"['gubernur', 'ridwan', 'kamil', 'wakil', 'basuki', 'cahaya', 'purnama', 'cocok', 'gak']",netral
putra.aminaya,1.Anies - Ahok 2.Anies - Andhika 🔥🔥🔥🔥🔥,anies ahok anies andhika,anies ahok anies andhika,"['anies', 'ahok', 'anies', 'andhika']",netral
geyisiagian,AHOKK,ahokk,ahokk,['ahokk'],netral
pjooo__,ahok🔥,ahok,ahok,['ahok'],netral
joki11642,Semoga Tuhan ijinkan Ahok jadi gubernur.....wakilnya  pak Jonas...👏,semoga tuhan ijinkan ahok gubernurwakilnya jonas,moga tuhan ijinkan ahok gubernurwakilnya jonas,"['moga', 'tuhan', 'ijinkan', 'ahok', 'gubernurwakilnya', 'jonas']",netral
jilkinamarah,Gw sih ahok,gw sih ahok,gw sih ahok,"['gw', 'sih', 'ahok']",netral
arsidsugiantoro,Semoga jakarta mendapatkan gubernur yg baik bagus n amanah😊🤲,semoga jakarta gubernur yg bagus n amanah,moga jakarta gubernur yg bagus n amanah,"['moga', 'jakarta', 'gubernur', 'yg', 'bagus', 'n', 'amanah']",netral
si_bogar,"Ahok dong..., terbukti tegas....👍 Cuma dlu kejebak ayat, yg digoreng trs oleh kubu sebelah....",ahok terbukti dlu kejebak ayat yg digoreng trs kubu sebelah,ahok bukti dlu jebak ayat yg goreng trs kubu belah,"['ahok', 'bukti', 'dlu', 'jebak', 'ayat', 'yg', 'goreng', 'trs', 'kubu', 'belah']",netral
yayat4476,Kaesang Pangarep.,kaesang pangarep,kaesang pangarep,"['kaesang', 'pangarep']",netral
yayat4476,Jendral TNI Andika perkasa,jendral tni andika perkasa,jendral tni andika perkasa,"['jendral', 'tni', 'andika', 'perkasa']",netral
simbolon.mawardi,❤️❤️,,,[],netral
febrihxnx,Bismillah pak anies ❤️,bismillah anies,bismillah anies,"['bismillah', 'anies']",netral
marz_volta,Padahal mending kaesang biar bisa rasakan cacimaki warga jkt 😂,mending kaesang biar rasakan cacimaki warga jkt,mending kaesang biar rasa cacimaki warga jkt,"['mending', 'kaesang', 'biar', 'rasa', 'cacimaki', 'warga', 'jkt']",netral
ibnusetiawan85,Pilkada msh jauh perhitungan suara😂😂😂😂,pilkada msh perhitungan suara,pilkada msh hitung suara,"['pilkada', 'msh', 'hitung', 'suara']",netral
rifky.abdulaziz,RK lebih tinggi dari KP ko malah golkar ngusung KP,rk kp ko golkar ngusung kp,rk kp ko golkar ngusung kp,"['rk', 'kp', 'ko', 'golkar', 'ngusung', 'kp']",netral
tedot94,"Ahok bagus, anies jg gpp... 🔥",ahok bagus anies jg gpp,ahok bagus anies jg gpp,"['ahok', 'bagus', 'anies', 'jg', 'gpp']",netral
rifky.abdulaziz,AB & BTP pasti jakarta lebih baik🔥🔥🔥🔥🔥🔥,ab btp jakarta,ab btp jakarta,"['ab', 'btp', 'jakarta']",netral
giwong_sniper,Saya pilih anies baswedan,pilih anies baswedan,pilih anies baswedan,"['pilih', 'anies', 'baswedan']",netral
satriokonthit,"Anies bagus di survey,pas pemiihan kalah,bisa  gak ya kaak gitu",anies bagus surveypas pemiihan kalahbisa gak ya kaak gitu,anies bagus surveypas pemiihan kalahbisa gak ya kaak gitu,"['anies', 'bagus', 'surveypas', 'pemiihan', 'kalahbisa', 'gak', 'ya', 'kaak', 'gitu']",netral
andrea_claire118,Ahok lah,ahok,ahok,['ahok'],netral
izzuddin_assulthan,ada yang milih Heru Budi?,milih heru budi,milih heru budi,"['milih', 'heru', 'budi']",netral
katarina_sozovka,pak Anies untuk Jakarta selamanya 😍😍😍😍😍,anies jakarta,anies jakarta,"['anies', 'jakarta']",netral
ron.indarto,Ahok vs Anies dah paling seru 🔥🔥🔥,ahok vs anies dah seru,ahok vs anies dah seru,"['ahok', 'vs', 'anies', 'dah', 'seru']",netral
kusnadiputera_fjr02,Aku berharap pak anies pimpin jakarta lagi🔥😍,berharap anies pimpin jakarta,harap anies pimpin jakarta,"['harap', 'anies', 'pimpin', 'jakarta']",netral
indonesia_maju.2024,"Masih heran ,kenapa bnyk yg milih anis sih",heran bnyk yg milih anis sih,heran bnyk yg milih anis sih,"['heran', 'bnyk', 'yg', 'milih', 'anis', 'sih']",netral
yeels_18,Dah ngk usah poling langsung lantik aja lah dah kebaca jg nt ujung ujungnya siapa 😂😂😂,dah ngk poling langsung lantik aja dah kebaca jg nt ujung ujungnya,dah ngk poling langsung lantik aja dah baca jg nt ujung ujung,"['dah', 'ngk', 'poling', 'langsung', 'lantik', 'aja', 'dah', 'baca', 'jg', 'nt', 'ujung', 'ujung']",netral
yudimic,"Udahlah biar Pak  dan Pak   aja, biar sekali-kali ngerasin kalah sang Raja itu.. Jateng juga pasang yang kuat, jgn sampe kerajaan itu lah.. Dukung 100% ini met",udahlah biar aja biar sekalikali ngerasin kalah sang raja jateng pasang kuat jgn sampe kerajaan dukung met,udahlah biar aja biar sekalikali ngerasin kalah sang raja jateng pasang kuat jgn sampe raja dukung met,"['udahlah', 'biar', 'aja', 'biar', 'sekalikali', 'ngerasin', 'kalah', 'sang', 'raja', 'jateng', 'pasang', 'kuat', 'jgn', 'sampe', 'raja', 'dukung', 'met']",netral
abdulkhairibnufaridi4,Akun baru netes pada ribut kagak karuan krn nama pak Anies tinggi😂,akun netes ribut kagak karuan krn nama anies,akun netes ribut kagak karuan krn nama anies,"['akun', 'netes', 'ribut', 'kagak', 'karuan', 'krn', 'nama', 'anies']",netral
pranindito_gadies,Anis jendral andika🔥,anis jendral andika,anis jendral andika,"['anis', 'jendral', 'andika']",netral
rafialif007,Semangat pak heru... 😂,semangat heru,semangat heru,"['semangat', 'heru']",netral
kifli_ritawati_96,Jelas Pak Anis yang Lebih banyak Prestasinya🥰🙏,anis prestasinya,anis prestasi,"['anis', 'prestasi']",netral
murdiono_ali,Kasihan deh pribumi Betawi cuma jadi penonton yang terpinggirkan 😥😥😥,kasihan deh pribumi betawi penonton terpinggirkan,kasihan deh pribumi betawi tonton pinggir,"['kasihan', 'deh', 'pribumi', 'betawi', 'tonton', 'pinggir']",netral
jen13_lin,ah surve yg lain anak pak lurah no 1 😂,ah surve yg anak lurah no,ah surve yg anak lurah no,"['ah', 'surve', 'yg', 'anak', 'lurah', 'no']",netral
iam_gavins,Dan kalian masih Percaya sama Wan Abud.. Tukang Obat..?😃😄,percaya wan abud tukang obat,percaya wan abud tukang obat,"['percaya', 'wan', 'abud', 'tukang', 'obat']",negatif
aigoo_watashi,"Berkat ketidakbecusan Heru sekaligus terlalu manut sama Jokowi, warga Jakarta mengalami CLBK. Cinta Lama Bersemi Kembali.",berkat ketidakbecusan heru manut jokowi warga jakarta mengalami clbk cinta bersemi,berkat ketidakbecusan heru manut jokowi warga jakarta alami clbk cinta semi,"['berkat', 'ketidakbecusan', 'heru', 'manut', 'jokowi', 'warga', 'jakarta', 'alami', 'clbk', 'cinta', 'semi']",netral
elyselys651,Duet ANIES-ANDIKA kereen nih!,duet aniesandika kereen nih,duet aniesandika kereen nih,"['duet', 'aniesandika', 'kereen', 'nih']",netral
achmadsan88,Bagus kayaknya Kaesang - Heru budi berpasangan ... biar makin lawak negeri ini😂,bagus kayaknya kaesang heru budi berpasangan biar lawak negeri,bagus kayak kaesang heru budi pasang biar lawak negeri,"['bagus', 'kayak', 'kaesang', 'heru', 'budi', 'pasang', 'biar', 'lawak', 'negeri']",netral
adi_susanto362,"Mau siapapun gub dki, yaa tetap gitu² aja. Macet banjir, kws kumuh, pkl, itulah penyakit gak bisa sembuh²👏👏",gub dki yaa gitu aja macet banjir kws kumuh pkl penyakit gak sembuh,gub dki yaa gitu aja macet banjir kws kumuh pkl sakit gak sembuh,"['gub', 'dki', 'yaa', 'gitu', 'aja', 'macet', 'banjir', 'kws', 'kumuh', 'pkl', 'sakit', 'gak', 'sembuh']",netral
szsz5g,"JELAS, CERDAS ,BERKOMPETEN ,",cerdas berkompeten,cerdas kompeten,"['cerdas', 'kompeten']",netral
aribopel,Dan pemenangnya adalah bapak kaesang 😂,pemenangnya kaesang,menang kaesang,"['menang', 'kaesang']",netral
perkakasjaya,Anak abah. Bilng ini survei bayaran gak yaah😂😂😂😂😂😂😂😂😂😂,anak abah bilng survei bayaran gak yaah,anak abah bilng survei bayar gak yaah,"['anak', 'abah', 'bilng', 'survei', 'bayar', 'gak', 'yaah']",netral
difanugrah,Aku,,,[],netral
lauren_prima,"Ayo maju lagi Ahok dan Anies, biar bertarung ulang. Tapi jgn pake politisasi agama, bertarung kualitas dan program kerja saja.",ayo maju ahok anies biar bertarung ulang jgn pake politisasi agama bertarung kualitas program kerja,ayo maju ahok anies biar tarung ulang jgn pake politisasi agama tarung kualitas program kerja,"['ayo', 'maju', 'ahok', 'anies', 'biar', 'tarung', 'ulang', 'jgn', 'pake', 'politisasi', 'agama', 'tarung', 'kualitas', 'program', 'kerja']",netral
yanto.soewarna,Sy pilih Zita Anjani anaknya Ketum PAN Zulkifly Hassan,sy pilih zita anjani anaknya ketum pan zulkifly hassan,sy pilih zita anjani anak tum pan zulkifly hassan,"['sy', 'pilih', 'zita', 'anjani', 'anak', 'tum', 'pan', 'zulkifly', 'hassan']",netral
m_jamieal,"Jgn ahok deh, gede bacot doang",jgn ahok deh gede bacot doang,jgn ahok deh gede bacot doang,"['jgn', 'ahok', 'deh', 'gede', 'bacot', 'doang']",netral
modric_cool2,bjiiiirr si anis turun kasta lagi🔥,bjiiiirr si anis turun kasta,bjiiiirr si anis turun kasta,"['bjiiiirr', 'si', 'anis', 'turun', 'kasta']",netral
arif_100293,Realistis,realistis,realistis,['realistis'],netral
kiosaka_frozenfood,josss BTP,josss btp,josss btp,"['josss', 'btp']",netral
utssgood,Dah lah.. damaikan anies ahok demi lawan dinasti pisang..,dah damaikan anies ahok lawan dinasti pisang,dah damai anies ahok lawan dinasti pisang,"['dah', 'damai', 'anies', 'ahok', 'lawan', 'dinasti', 'pisang']",netral
aldeeomeen,"Zakat aja 2,5%😂",zakat aja,zakat aja,"['zakat', 'aja']",netral
tamasl05,"Ahok yg sdh turun panggung saja masih bisa 20%, tinggal dipoles lagi pasti moncer",ahok yg sdh turun panggung tinggal dipoles moncer,ahok yg sdh turun panggung tinggal poles moncer,"['ahok', 'yg', 'sdh', 'turun', 'panggung', 'tinggal', 'poles', 'moncer']",netral
asterrn_,Mas Heru kok paling bawah,mas heru,mas heru,"['mas', 'heru']",netral
gregorius.geli,Ahok,ahok,ahok,['ahok'],netral
insight.pras5758,😂😂😂😂 paling bahagia kaum 17%,bahagia kaum,bahagia kaum,"['bahagia', 'kaum']",netral
gregorius.geli,"Ahok aja,, biar beresin semua kekacauan di jakarta...",ahok aja biar beresin kekacauan jakarta,ahok aja biar resin kacau jakarta,"['ahok', 'aja', 'biar', 'resin', 'kacau', 'jakarta']",netral
dul22577,Menyala abahku,menyala abahku,nyala abah,"['nyala', 'abah']",netral
ayutiasih,"Takutnya survei gini menang, pas memilihan kalah, tantrum lg... Jangan lah diPHP kasian pendukungnya...",takutnya survei gini menang pas memilihan kalah tantrum lg diphp kasian pendukungnya,takut survei gin menang pas pilih kalah tantrum lg diphp kasi dukung,"['takut', 'survei', 'gin', 'menang', 'pas', 'pilih', 'kalah', 'tantrum', 'lg', 'diphp', 'kasi', 'dukung']",netral
djokovic_bone,"DkJ butuh muka baru ,orang baru bukan orang lama di kemas baru ....belangnya yg lama dah tau lah",dkj butuh muka orang orang kemas belangnya yg dah tau,dkj butuh muka orang orang kemas belang yg dah tau,"['dkj', 'butuh', 'muka', 'orang', 'orang', 'kemas', 'belang', 'yg', 'dah', 'tau']",netral
swyudha,Goreng terus Kompas !!!!,goreng kompas,goreng kompas,"['goreng', 'kompas']",netral
warno_59,"Kasian Kaesang kurang peminat, kenapa ya ????",kasian kaesang peminat ya,kasi kaesang minat ya,"['kasi', 'kaesang', 'minat', 'ya']",netral
herry.nurdiansyah87,"Haji Bolot (Gubernur), Malih TongTong (Wakil) ini aja udeh 😂",haji bolot gubernur malih tongtong wakil aja udeh,haji bolot gubernur malih tongtong wakil aja udeh,"['haji', 'bolot', 'gubernur', 'malih', 'tongtong', 'wakil', 'aja', 'udeh']",netral
javar_sadeq,Ridwan kamil & pak ahok mantab,ridwan kamil ahok mantab,ridwan kamil ahok mantab,"['ridwan', 'kamil', 'ahok', 'mantab']",netral
handayaniwoke,Ahokkkk,ahokkkk,ahokkkk,['ahokkkk'],netral
sigasigi,"Heru mah 0,1 min jgn di gede""in",heru mah min jgn gedein,heru mah min jgn gedein,"['heru', 'mah', 'min', 'jgn', 'gedein']",netral
sucipto.tjauw,Ahok kaesang SUDAH PALING BENAR,ahok kaesang,ahok kaesang,"['ahok', 'kaesang']",netral
agung.kharisma.948,Anies dunk,anies dunk,anies dunk,"['anies', 'dunk']",netral
deesisem,Ahok-Anies🙂,ahokanies,ahokanies,['ahokanies'],netral
dhelapantujuh_____,Sri mulyani udah cocok jdi menkeu😢,sri mulyani udah cocok jdi menkeu,sri mulyani udah cocok jdi menkeu,"['sri', 'mulyani', 'udah', 'cocok', 'jdi', 'menkeu']",netral
rizaldisyamsir,Bu  jadi Cagub di Jawa Tengah aja. Kemungkinan elektabikitasnya tinggi,bu cagub jawa aja elektabikitasnya,bu cagub jawa aja elektabikitasnya,"['bu', 'cagub', 'jawa', 'aja', 'elektabikitasnya']",netral
bimoadityaa,BTP Untuk perubahan Jkt,btp perubahan jkt,btp ubah jkt,"['btp', 'ubah', 'jkt']",netral
banananaofficialy,Emang ada partai yang berani ngusung pak Anis duet sama pak Ahok? Kalau ada yang berani bisa susah ngelawan.nya..,emang partai berani ngusung anis duet ahok berani susah ngelawannya,emang partai berani ngusung anis duet ahok berani susah ngelawannya,"['emang', 'partai', 'berani', 'ngusung', 'anis', 'duet', 'ahok', 'berani', 'susah', 'ngelawannya']",netral
