Author,Comment,Published
@MULYONOSUANDI,"Bang gw setuju lu mau benahin pendidikan di Indonesia,tp kayanya dimulai dari lu deh bang  ,menit 11.45 lu tulis Malang tp tulisannya gini MAlang kayanya pendidikan itu dimulai dari lu dulu deh bang dan tulisan lu macam anak SD bang ,maaf yaa bang kalau salah cuma kasih saran 🙏",2024-10-19T08:06:43Z
@maretta173,"Bang ak sebagai anak kelahiran 2001, ngarasa beruntung karna ak lahir di pertengahan anak jaman 1995-2005 itu yg dapet keistimewaan masih kebagian mainan jaman 90 sama kurikulum ktsp, tp kita juga anak yg mumulai era android baru&quot; jenis samsung sama cina meski lebih canggih teknologi sekarang. Cuma kami juga bisa pake dan rasaain, dari segi atitud juga genarasi kami masih tau adab ga serampangan kek anak sekarang. Uda paling bener jaman ktsp bang, buku dari sekolah di pinjami, pelajaran yg lebih induk di kemas pake lks yg masih mampu untuk ortu murid beli. Sekarang abg liat anak kurang hobi membaca, tp di sekolah suruh beli&quot; buku mahal tp anak&quot;nya liat lebih suka liat hp. Saat ak buka pejaran anak sd klz2 aja uda sulit&quot; bgt, tp gaada ga naik kelas jelas bayangin gaada saingan rangking, banyak gtw sejarah negeri sendiri, gimana coba pelajaran sesulit itu gaada tekanan apa&quot; ya liat anak&quot; jaman sekarang iq dan atitud mines pol",2024-10-19T08:00:43Z
@rulyanasalma4758,"Jika masih merasa miskin Dann bodoh harusnya pendidikan mengiblat ke cina dan Korea Selatan bagaimana mereka menggembleng anak anak generasi mudanya untuk belajar sungguh sungguh agar bisa menjadi negara maju, pola pikir dan gaya hidup masyarakat indonesia tidak siap dan tidak sesuai untuk belajar dengan mengiblat finlandia",2024-10-19T07:58:13Z
@anggisitepu7222,"Saya akui memang Kurikulum Merdeka ini banyak kekurangannya. Beberapa diantaranya tidak adanya sistem tinggal kelas,<br>zonasi, dan PMM yg menjadi tugas guru ketimbang mengajar. Nggak heran banyak murid yg sudah SMP bahkan SMA <br>tidak bisa Calistung (membaca, menulis, dan menghitung) dan belum lagi masalah klasik guru honorer yg bahkan dihari<br>tuanya belum sejahtera.<br><br>Dari saya menjadi murid sampai saya menjadi guru memang terasa betul perbedaan sistem pendidikan di Indonesia <br>bukan mengarah ke arah yg lebih baik tapi ke lebih buruk.<br><br>Kalau Polisi salah tembak satu orang yg meninggal<br>Kalau Dokter salah kasih obat satu orang yg meninggal<br>Kalau Guru salah mengajar satu generasi hancur<br><br>Inilah akibatnya kalau jabatan bukan diisi oleh orang yg ahli dibidangnya, yahhh hampir sama kayak Kominfo lah.",2024-10-19T07:53:44Z
@raashee,"gua sebagai anak kls 12 yang mau lulus merasa kalo gua sekarang goblok banget soal akdemik yea ik im not perfect at all tapi kalo dibanding diri gua di SMP bahkan SD yang dulu masi ada UN, hafalan, sekolah strict banget gabole bawa HP, dsb. gua bisa bandingin kalo dulu gue bener bener murid yang how supposed to be aja gitu. like yang emang siswa tu harus nya begini. gua yang ga pinter pinter banget aja kaget liat tmn tmn gua banyak yang lebih goblok dari gua yang dimana mereka berasal dari sekolah yang beda beda. sampe gue wondering mulu ni anak SD SMP ngapain aja gitu",2024-10-19T07:46:29Z
@TomblokAnyar,bnyak anak lulus SD saat ini blum bisa baca.. pdhal dlu naik kelas saja tdk bisa.. sungguh miris sekolah2 negri saat ini,2024-10-19T07:43:46Z
@KaeShura,Bikin tambah berdoa yang terbaik buat negeri ini kedepannya.,2024-10-19T07:41:26Z
@absolutedisasterz,"Jika alasan kenapa tidak adanya tinggal kelas adalah karena akreditasi sekolah menurun, maka mengapa tidak menghapus akreditasi sekolah saja?",2024-10-19T07:33:17Z
@inmi_store16,"Bukan cuma sistem zonasi yang salah penerapan nya. Sistem pengajaran nya pun banyak yg salah. Tenaga pengajar memang harus di standarisasi ulang. Saya paham gaji pengajar dinegara kita ini masih kecil tapi alangkah baik nya effort sebagai tenaga pengajar jangan ikut mengecil. Kami tidak melarang kalian mencari peluang pendapatan tambahan tapi tetap anak didik harus diperhatikan. Lo bayangin di sekolah anak w diadakan les tambahan perhari 10rb tidak dipaksakan dan uang nya pure untuk guru yg mengajar. Tau akhirnya apa? Kurang efektif karena kata anak w yg ga ikut les pas kemarin ujian, anak yg ikut  les kebanyakan jawaban nya adalah, adalah, adalah, atau a, b, c karena keseringan diajari jawaban ganda 😢 ga kebayang betapa sakit hati nya orang tua anak tsb. Udah cape2 tiap hari anter les, ikut nunggu, dan jemput.",2024-10-19T07:27:37Z
@tnygiii0909,"bang cuba ke malaysia cari tahu sisten pendidikan mereka, siapa tahu kalo bagus bisa dijadikan contoh utk kita.",2024-10-19T07:26:08Z
@Jayadho,Diketawain cewek karna jelek:😂😂<br>Diketawain Ferry Irwandi di yutup:💀,2024-10-19T07:19:21Z
@rhinogattuso7744,"Pendidikan dulu lebih baik sih, meskipun keras namun efektif.<br>Selain ilmu di dapat mental dilatih baik.",2024-10-19T07:19:07Z
@NanangLee-o4g,Saya bersyukur sekolah di era 90&#39;an..tpi saya juga ketar ketir tentang pendidikan anak saya kelak,2024-10-19T07:15:54Z
@LLLLlll__0000,"Gw paling gak suka dari orang bodoh tahu gak apa? Parrotingnya itu anjing, kayak gak ada pikiran sama sekali, cuman bisa niruin suara orang tolol",2024-10-19T07:15:25Z
@yuswardimawardi4188,yang salah bukan sistem finlandianya... materi pelajarannya yg ga berguna dikasih... tamat sekolah plangak plongok.... orang ga diterima kerja itu biasa yg penting tau apa yg mau dikerjain buat keperluan hidupnya....,2024-10-19T07:12:31Z
@prinkipissa7100,"please jangan salahin guru ya. kami dituntut harus meluluskan murid, apapun kondisinya.",2024-10-19T07:07:54Z
@artsciencefaith,"Pak JK salah satu inisiator UN sebenernya tujuannya saat itu bagus banget. Hanya dalam praktek justru &quot;diakali&quot; oleh stakeholder pendidikan, akibat banyak yang tidak lulus jika hasil UM jadi syarat kelulusan. Kembali saja ke EBTANAS, UN jangan jadi syarat kelulusan.",2024-10-19T07:01:28Z
@Rohul.ID9,"Mnrut saya ini terjadi gara&quot; COVID kerna di zaman itu gc masuk sklh alias online bagi yg punya internet. Yag tidak punya internet apa kbarnya..?<br>Dan tiba&quot; nerima ropor udh naik kls aja.<br>Nilai di rapor itu jg tdak nilai asli pelajar, itu nilai udh di tambah&quot; sma sekolah agar bisa menembus KKM.",2024-10-19T06:56:28Z
@leonitafrilenska817,"di salah satu SMP yg terkenal alot masuknya tmpat saya dulu PPL tiba2 diisi oleh ank2 yg kewalahan nulis kata white, us,  ....simple kosakata English yg bikin guru2 nya syok",2024-10-19T06:50:43Z
@febryannoorrahmatfebri6404,"Indonesia fokus pada akreditasi sekolah dmna pra atasan nyuruh kepsek kepsek untuk mempush akreditasi gmna pun “cara nya” jdi nyaa ya kaya gini. Di perkuliahan pun kaya gitu, miris bukan nya bngun orang nya tpi bngun citra nya",2024-10-19T06:40:10Z
@rizkyardi7824,Kurikulum mengadopsi dari negara lain itu sendiri sudah kesalahan fatal dan tolol,2024-10-19T06:28:35Z
@AliMustofaChanel,"Betul mas, sistem zonasi sangat merugikan, mosok sak kecamatan ga ketompo ng sekolah sak kecamatan e peh ga keno zonasi, sedangkan wong bedo kecamatan iso ketompo",2024-10-19T06:26:42Z
@Lddm32,"Adek saya juga kena imbasnya sistem pendidikan ini. Adek saya itu malas berangkat sekolah, udah terhitung banyaknya absen sampai 8 minggu ada lah. Disuruh berangkat sekolah pasti alasan sakit (padahal mah nonton YouTube mulu) dan dari pihak sekolah malah memberi keringanan kepada adek saya kalau sudah beres masalahnya baru boleh ke sekolah. Kan ini gila banget. Kok dari pihak sekolah gak ada ketegasan kepada adek saya padahal kami sekeluarga pusing mencari cara supaya bisa masuk sekolah lagi padahal sekolahnya negeri loh.",2024-10-19T06:18:46Z
@miyosadrawing,itulah hasil jika urusan tidak dipegang oleh ahli dibidangnya.,2024-10-19T06:03:29Z
@maulanaqori2768,Semoga ada perbaikan di periode yang baru ini,2024-10-19T06:00:48Z
@LuhRias-w4g,"Knp anak tidak bisa baca tapi dinaikkan padahal di kurikulum merdeka anak boleh tidak naik kelas. Kurikulum merdeka baru banyak dipakai 70% dari thun 2023 kita juga mengalami loss 2 tahun saat covid sehingga saat itu kacau belajar di rumah anak jg lulusan &quot; covid, &quot;",2024-10-19T05:51:59Z
@brendensky1854,ketawa joger😊,2024-10-19T05:49:33Z
@vybdotcom.4201,kurikulum yg cukup worth it bagi gua ya KTSP 2006,2024-10-19T05:46:41Z
@seishuuhanda2948,"Dulu waktu jaman saya kkn tahun 2015, belum pak Nadiem makarim yg menjabat udah cukup banyak gue ketemu anak sma gak bisa baca dan kesulitan matematika dasar. Jadi ya asal usulnya gak langsung Nadiem Makarim si",2024-10-19T05:46:04Z
@arfajria6585,"soal yang gak naik kelas itu beneran nyata. gue juga pernah wawancara salah satu guru dan jawaban nya sama, &quot;karena ga naik kelas itu bisa merusak citra sekolah,&quot; hal ini yang mengakibatkan seluruh siswa dipaksa wajib naik kelas, walaupun sebenarnya kemampuannnya belum mencapai standar kriteria",2024-10-19T05:42:39Z
@faturrhmn5075,sok pinter bgt nih orng asli dah,2024-10-19T05:34:54Z
@LLLLlll__0000,"Kenapa sih cewe ama orang bodoh sama2 mikir pake feelings anjay. Waz wez woz padahal salah jing. Gw kalo defend, takut mereka tersinggung lagi anjing, ngehe emang, gw terima2 malah sakit ati gw totlah.",2024-10-19T05:27:43Z
@wahyusetiawan123,"keep up the good work bang!, semoga gua bisa ngikutin dan nerusin apa yang lu geluti. punya kegelisahan yang sama dengan pendidikan di Indonesia.",2024-10-19T05:23:27Z
@dewitaarlis3803,Ada beberapa anak masuk SMP tidak bisa baca,2024-10-19T05:19:57Z
@Dhanizan,"Saya beruntung lahir di mana guru&quot; Hebat dan tegas dalam  mengajar, dan selalu begadang saat ujian di mulai",2024-10-19T05:16:36Z
@chandrar9275,Ciri Orang bebal udah dikritik banyak pihak tetap tidak berubah 🎉,2024-10-19T05:14:14Z
@kurohiko7141,"yg masih bujang aja mikir, gimana anak2 kita nanti kalo pendidikan di konoha makin hari makin bobrok..!!<br>.<br>inikah hasil sistem belajar modern.?<br><br>inikah kurikulum merdeka yg katanya lebih baik daripada kurikulum 2006.?<br>.<br>inikah hasil memanjakan murid.?",2024-10-19T05:12:53Z
@pampijitmuma9003,btw anak anak sekolah sekarang masih di kasih PR ga ya oleh guru nya?,2024-10-19T05:10:44Z
@rapanepane,"Dgn tidak ada ujian akir dan bebas naik kelas saja udah jd modal utk mental tempe dan ready to be serve. Pdhl di dunia nyata mental fighter yg dibutuhkan. Gmn nanti diksh cobaan gk lgs jiper, terus baperan tp ngerinya pinter gk mau diksh saran",2024-10-19T05:02:52Z
@juitabaebae,"Riil emang masalah awalnya di zonasi. Gue tinggal di daerah atau kecamatan yang ngga punya SMA, alhasil harus nyari sekolah swasta atau di MAN. Bayangin kalau hal ini terjadi di orang yang perekonomian menengah ke bawah... apa ngga mengkis-mengkis bayar spp perbulan hampir setengah juta?",2024-10-19T04:56:41Z
@88fryh58,Yess 100% setuju.. much respect ud buat video pencerahan ini bang negara kita sedang butuh konten kereator sepertimu..aq pribadi cmn g suka pendidikan kita di obrak abrik sama org naif dan less of awareness but again kita perlu penyadaran yg massive tentang fakta dilapangan and you show us that&#39;s huge..,2024-10-19T04:50:54Z
@Jak550,Mantap Lanjut .....untuk Observasi Terbaru,2024-10-19T04:47:23Z
@bianofficial2667,"guru honorer di gaji kecil di daerah pusat mana semangat ngajar 😂, dan apa2an jg murid maaf ini, yang tergolong tidak pintar bisa naik kelas 😂<br>cari kurikulum yg cocok, benahi pondasi dari SD, kalau memang tinggal kelas ya udah tinggal kelas, jangan main2 sama pondasi, nnt akan bahaya kalau bangunannya sudah besar dan tinggi si bocah tidak bisa menopang<br><br>tp mash banyak oknum2 jg yg gk jelas, yg buat peraturan2 konyol 😂 agar bisa mempertebal dompet",2024-10-19T04:47:06Z
@HariyadiSaja,Anggota DPR itu bersuara kerasnya di ruang sidang aja. Selesai sidang ya cincai-cincai dengan kementerian😆,2024-10-19T04:44:46Z
@ElilazYehu-xs3gi,mo bilang apa lagi seperti nya memang di set sperti ini .....memang Negara ini menginginkan anak anak nya goblokkk ...dan Guru guru jadi jago bikin laporan aja ....bikin program yg sistematis rapih tpi otak dungguuuu,2024-10-19T04:41:36Z
@firda9331,*mikir kenapa intronya dibikin kaya money heist<br>*liat abangnya pas di depan papan tulis <br>&quot;oh pantesan&quot;,2024-10-19T04:38:01Z
@NaniWilliam4,"Generasi Indonesia makin hancur entah ada apa dgn otak menterinya mungkin bermasalah tapi kok menteri Indonesia tambah bodoh tambah anti buku lihat moral mereka doyan demo emosi  foya dan berkembang biak dini ,makin byk penduduk tdk berkualitas beban negara, kasian Indonesia lerja cuma jd kuli suka2 yg pegang kerjaan kantor jabatan tinggi orang luar mungkin itu keinginan menteri pendidikan manusia terbodoh di Indonesia yg merusak pendidikan Indonesia  makin parah ganti bukan tambah baik tambah parah katanya belanda sekarang menolak lulusan sma Indonesia itu prestasi menurun yg mereka bangga didaerah lebih memprihatinkan lagi cuma bisa geleng2 pemerkosaan  makin meningkat perempuan doyan joget2 seksi di sosmed",2024-10-19T04:36:58Z
@buling8543,Dan si naaaa diam gak di pecat ama joko tingkir,2024-10-19T04:22:10Z
@buling8543,"saking jgonya menteri si paling modern , ibrat pengojek dikasi motor balap buat ngojek",2024-10-19T04:21:09Z
@novendavansla7469,Mantap sekali analisisnya bro... 🎉 Ketika ekspetasi tidak sesuai dengan realita 🤦‍♂️,2024-10-19T04:18:59Z
@nylacocoa,Banyak anak SMA yg bolos kerjain tugas lewat google di sekolah nggk di rumah cuman main game 🙃 entar lulus sekolah  kalo kerja maunya gaji gede kerjaan ringan di tegur nggk trima,2024-10-19T04:12:40Z
@jeankelin,"ya gak pp sih nadiem sama jabatanya pas banget, toh jurusan pertanian aja bisa jadi ketua kominfo",2024-10-19T03:59:28Z
@zahratulwahdati,"Terima kasih dua mentri pendidikan kita yang terakhir, aku lelah jadi guru dengan beban yang makin tinggi, dan karakter siswa yang aaah susah sekali. Hapus sistem zonasi kumohon.",2024-10-19T03:54:24Z
@albertusanggo3912,"harusnya di indonesia punya mentri khusus yang menangani pendidikan di indonesia, sebut aja mentri pendidikan, kalo ga ada ya begini jadinya, hancur pendidikan, bukan rahasia umum bocah2 sekarang bangga ga perlu belajar lulus2 juga, jadi buat apa belajar.<br>dan yang disebut &quot;pemangku kepentingan&quot; ga ngurusin sesuatu yang ga ada duit nya. kecuali kalo bikin kebijakan yang kalo dibuat banyak menerima setoran, itu gerecep mereka rapat darurat.<br>saya kelahiran tahun 90 sebagai anak sekolah memang malas belajar, tapi terpaksa harus belajar karena &quot;TAKUT&quot; tinggal kelas, malu sama keluarga dan teman2, makanya dapat tekanan dan terpaksa belajar. itulah sistem pendidikan yang cocok untuk indonesia",2024-10-19T03:51:53Z
@pejuangRECEHHHH,cuma ada di era GORONG GORONG,2024-10-19T03:50:09Z
@LLLLlll__0000,"Perlu gw garis bawahi lagi? IQ di bawah 90 gak akan bisa ngikutin pelajaran sampai SMA apalagi kuliah. Mentok belajar nyetir, sisanya tawuran, loe mau berharap apa jing? Gw udh ada di level gw bisa ngebedain mana omongan yg objektif mana omongan yg sumbernya dari feeling atau prasangka, biasanya kalo omongan dari feeling ini yg bahaya karena sifatnya manipulatif. Lu kira orang yg IQnya tinggi gak bisa ngebedain mana orang manipulatif mana orang objektif, bisalah. Orang kalo omongannya sentimen terus udah pasti manipulatif",2024-10-19T03:37:20Z
@Yeel0498,Stop untuk fokus terhadap penilaian sekolah atau akreditasi skolah saja tapi fokus utama kita pada perkembangan siswa.,2024-10-19T03:37:07Z
@enzo9510,UP!!!!!! kapan indonesia maju jika pendidikan aja dibatesi,2024-10-19T03:36:14Z
@Yeel0498,Urgensi ANBK juga apa dampaknya ke anak? Apakah bisa diambil sampel anak tersebut sebagai penilaian sekolah? Feedback untuk anak masing² itu apa? Karna tidak ada pengaruh ke nilai rapor mreka mengerjakan soal tersebut jg jadi tidak serius seperti soal UN. Jd coba telaah lagi masalah ANBK jg,2024-10-19T03:34:18Z
@yaressudiro6907,Saya jg salah satu guru negeri tingkat mnengah dikota Bksi msh ada bbrp ssw yg blm bs baca...mmprihatinkan,2024-10-19T03:29:20Z
@rachelembun3141,"kemarin abis di ceritain adek (smp), katanya temennya ada yg gabisa baca tulis. shockk bgt, kok bisaaa. miris bgt, rasanya kok kemunduran bgtt. dulu jaman saya sekolah kayanya ga pernah denger di lingkungan saya ada yg gabisa baca. dan malah 2024, 10 tahun kemudian, muncul issue yang miris bgt seperti ini. get well pendidikan indonesia.",2024-10-19T03:25:35Z
@hadimekarsaridata1245,"...........................................................................................................................................................................<br>Guru saya SD dulu berpenampilan Sederhana, Sopan dan Santun tidak bermewah2, Guru sekarang ?<br>Guru saya SD dulu sangat di segani Oleh murid - muridnya, Guru Sekarang ?<br>............................................................................................................................................................................",2024-10-19T03:22:48Z
@anggapradikusuma2471,Okey bang sekarang coba bahas realitas pendidikan tinggi di indonesia,2024-10-19T03:22:45Z
@endangkusumadewi0983,"Siapa emng yg menjadkan nadiem mentri pendidikan 😅 ? ..jd yg disalahkan siapa sebenarnya ?.... emng dri awal jg udh aneh,msa iya anak sekolah  ngerjain PR tugas hrus online lwt HP .udh ngabisin kuota,dn bukannya ngerjain tugas malah <a href=""http://tiktok.an/"">tiktok.an</a> 😂..bukannya belajar malah <a href=""http://tiktok.an/"">tiktok.an</a>",2024-10-19T03:07:31Z
@momwawa,"Ya allah aq takut anak2 aq boloho kayak anak2 yg ada d video2 beredar gak tau ini itu...Dulu waktu jaman SD kls 2 itu sebelum mulai belajar baca perkalian dr 1 sama10 rame2 sambil menunggu guru siap dan dtg ke kls,,sampe skrg aq masih ingat lagam baca perkalian nya dan sgt2 bermanfaat sampai ke tua,pokoknya kembalikan kurikulum yg dulu itu 😢",2024-10-19T03:02:07Z
@Everyth1nk-ya,"Saya punya anak masih umur 1,5 tahun ,tapi sangat penasaran bagaimana nasib anak ini 5 tahun kedepan saat masuk dunia pendidikan ,apakah makin kacau atau ada perbaikan yang signifikan ? Semoga dunia pendidikan Indonesia membaik dan menjadikan SDM negeri ini bisa bersaing di kancah dunia",2024-10-19T03:01:39Z
@jacquesMY,"MATA PELAJRAN BUDAYA LOKAL DIHILANGKAN, SISTEM ZONASI GAK JELAS BLAS DITERAPKAN, SISTEM RANKING DIHILANGKAN, UJIAN2 DIHILANGKAN. NABIEL MAKARIM INI ANTEK ASING YANG BERTUJUAN MEMB0D0HKAN BANGSA INDONESIA. APA KITA AKAN DIAM SAJA ? HANYA ADA SATU KATA : LAWAN !!!",2024-10-19T02:54:42Z
@oddangkumbara9152,"Setuju, murid gw kemaren gw kasih pertanyaan apa saja 4 sehat 5 sempurna. Gak ada yg bisa jawab",2024-10-19T02:46:33Z
@madamrempong,"Makax sya anti sm sekolah negri, semoga dksh rejeki bs menyekolahkan semua ank sya disekolah swasta",2024-10-19T02:41:31Z
@LLLLlll__0000,"Kalo IQ bodoh berarti dia emang lahir dari orang tua bodoh tot, kalo SMA masih tetep bodoh, berarti kuadrat bodoh. Makanya tiap jenjang sekolah itu dites IQnya. IQ itu seberapa otak menyerap pelajaran, mau pelajaran matematika, gambar, bahasa, olahraga, itu ukurannya IQ. Kalo baca aja gak bisa, itu bukan karena dia milih pelajaran apa, tapi emang daya tangkap gak nyedot, kemampuan otak itu juga berkaitan ama memory. Kalo daya tangkap gak bisa, apa bedanya loe ama orang amnesia jing, jedotin kepala aja loe pada, amnesia emang short memory",2024-10-19T02:38:08Z
@crunchy29,"saya siswa Kelas 12 dan saya setuju meskipun memang saya bukan orang yang terkena dampak zonasi di malang karena saya sekarang mengampu pendidikan di pesantren, tapi saya ngerasain dampak dihapusnya UN dan Kurikulum Merdeka. saya dulu masih ngerasain UN pas SD, dan semenjak masuk SMP hingga saat ini (kelas 12 SMA) rasanya jiwa kompetitf itu gak ada sama sekali, dan saya ngerasa lagi semenjak Kurikulum Merdeka di wajibkan malahan kualitas belajar mengajar itu kurang banget, kita hanya di ajarkan &quot;asal paham materi saja dan implementasi nya seperti apa&quot;, tapi beberapa pengetahuan dan materi dasarpun kita tidak di ajarkan, seolah-olah tidak terlalu penting untuk pahami secara dalam, ada lagi arahan kepada siswa untuk belajar mandiri, padahal seharusnya tempat paling di harapkan untuk menimba ilmu paling banyak itu cuma ada di KBM sekolah dan kajian Ilmiah.<br>karena hal semacam itu saya sendiri merasa ada hal yang mengganjal, dan saya berinisiatif untuk banyak mengikuti ekskul-ekskul seperti Bahasa Inggris, Arab, Jepang, Jurnalistik, IT, Robotika, Wirausaha, Sains, dll. dan saya berharap dengan inisiatif itu saya bisa mengejar ilmu-ilmu yang belum pernah saya pelajari selama Kegiatan Belajar Mengajar saat jam sekolah dilaksanakan.",2024-10-19T02:37:37Z
@madamrempong,"Ank jaman skrg gaul, pengetahuan akademisx rendah, sopan santun kurang",2024-10-19T02:35:19Z
@alfarizdio3876,"Dan yg lucunya masih ada aja yg membela &quot;tiap anak daya tangkapnya berbeda tidak bisa semua disamakan&quot;,,,,,BRO KLO SD SIH OKE TAPI INI DAH SMA MAU MASUK DUNIA KERJA/KULIAH MASA BACA AJA GABISA ANJAY GMN LU MAU IDUP KLO GABISA BACA🤣🤣🤣",2024-10-19T02:34:38Z
@Daruls,"UN itu memaksa anak untuk ke standar tertentu...<br>minimal bisa pengetahuan dasar..<br><br>lah sekarang, bodo amat, naik2 kelas aja tuh...<br>ditambah dimanjakan teknologi,..<br>wassalam dah...",2024-10-19T02:25:30Z
@okaprabawa4177,Inilah akibat kalo jadi menteri bukannya sibuk kerja malah sibuk self branding &quot;mas menteri&quot; 😂😂😂😂,2024-10-19T02:24:39Z
@ediwahyudi5838,Heran anak anak SMA sekarang masa gk tau negara negara benua Eropa,2024-10-19T02:14:16Z
@buddytruwellu-ly7jc,Yang parahnya guru honorer yang jadi korban.,2024-10-19T02:13:52Z
@LLLLlll__0000,"Kalo diukur, mana lebih tinggi orang pintar atau jujur yg punya IQ tinggi bang? Orang jujur sebenernya, sebenernya justru kalo dia bener2 pintar, dia gak akan berbohong",2024-10-19T02:11:14Z
@ratihrismawati7928,Menyedihkan<br>Tp pesimis jg sama pemerintahan baru dgn kabinet rasa lama plus wapres yg gak hobi baca plus niretika kita bisa berharap apa 😢,2024-10-19T02:09:23Z
@Hurairah2609,"Dan ini real lho...kata adik ipar aku ada teman sekelas anaknya ga bisa baca &amp; hitung pdhal SMP lho, waktu di kerasin sama ibu guru eh si anak melapor ke ibunya &amp; ibunya datang marah2 ke sekolah trus bilang &quot;bu anak sy ga biasa di marah, biarin aja dia belajar sesukanya&quot;. Miris banget kalo ortu model begini...",2024-10-19T02:05:33Z
@zidan1824,Efek zonasi &amp; kurikulum merdeka membagongkan,2024-10-19T01:59:26Z
@cupegitu,"Anak2 sekarang ga ngerti pengetahuan umum,,apalagi sejarah.",2024-10-19T01:57:50Z
@waniperih1139,"nyata banget, moral kelakuan anak anak sekarang. kl gk jahat ya cabul 😂",2024-10-19T01:53:54Z
@Pablo-o1x8y,"Bodo amat, wong dikritik di kasih saran masukan ttep saja begitu dengan pemkiran yg engga tau ikut cara mendidik orang mana ngga paham <br><br><br>intinya 58 % <br><br>FUFUFAFAFUFUFAFA",2024-10-19T01:51:30Z
@Alie89520,"Saya sering ngobrol sama anak² remaja sekarang, pengetahuan umumnya sangat kurang daya analisa sangat rendah",2024-10-19T01:45:56Z
@rockjawchannel9585,"HARUSNYA DARI SD, ADA KURIKULUM MANAJEMEN EMOSI DAN PENGENDALIAN DIRI DAN TATA BAHASA.. Biar ngerti adab, trus Gak Pada Jadi Bocil yg Gak sopan dan kang nawur pas gedenya. Ini bisa menekan kasus bullying, tawuran, dan &quot;Klitih&quot;(kalau istilah di daerah jawa)",2024-10-19T01:43:35Z
@thinkid2583,Kita sebut saja epidemi kebodohan.😅,2024-10-19T01:37:41Z
@maisyaroh9250,"adopsi finlandia..?..finlandia negara kecil,  Indonesia negara besar pak mentri,  geografianya jg beda..",2024-10-19T01:34:32Z
@KajianVideo,"fakta bang, kenyataannya sering sekali di sekolah negeri ada jam kosong, misal sehari yang semestinya ada 3 mapel jadi hanya 1 mapel saja",2024-10-19T01:33:27Z
@citiieyoungshee883,Jadi khawatir gak sih sama pendidikan anak disekolah nya.<br>Kyk kita aja dlu hampir tiap hari ada PR dri guru..lah anak gue Klo pulang sekolah ditanya ada PR jawab nya selalu kagak ada.<br>Ampek gue bilang loe disekolah belajar apa main sih.masak tiap hri gak pernah ada PR..🤦🤦,2024-10-19T01:31:41Z
@fba4860,"Tolong jangan merusak Indonesia, kembalikan UN, kompetisi itu perlu.",2024-10-19T01:31:20Z
@sutjiptatedja8802,Titik permasalahannya adalah guru,2024-10-19T01:30:07Z
@sutjiptatedja8802,"Anak SMA nggak bisa baca. Waktu SD kelas satu, tahun kapan? Kayaknya Nadiem belum jadi menteri. Dan kurikulum Merdeka belum ada.",2024-10-19T01:29:13Z
@yitnostatics1458,Semua bermula dari ijazah palsu tukang ngibul,2024-10-19T01:25:49Z
@theman9203,"Gimana mau bener Boss. Sistem itu sebenernya Nomer 2. Yang Nomer 1 itu motivasi. Lha sekarang generasi muda kita dikasih tontonan dan contoh : bahkan untuk jadi pejabat saja, gak perlu sekolah kok ! Yang namanya Gelar juga bisa dibeli kok ! Jadi gak usah ngomongin sistem dulu (yang yah ... memang realitanya carut marut). Petanyaan paling simple dari anak2 kita saja sekarang kita susah jawabnya : Buat apa sekolah ???",2024-10-19T01:23:02Z
@mohdrozibakar6409,mana maunya.... yg jadi guru pon asalnya anak murid yg kureng....amek ler sistem apa pon tak kan berjaya.... kerana pemerintah juga hasil dari sistem yg gagal.... 50 thn kedepan indon akan menjadi negara tergoblok,2024-10-19T01:20:49Z
@jmp401,Buang Nadiem Makarim. Nggak becus ngurus negara. Mau di bawa kmn negara ini bung...,2024-10-19T01:18:45Z
@sotegone,saudara kembar saja karakternya bisa berbeda begitu juga dengan cara mendidiknya<br>apalagi ini lamngsung adopsi sistem pendidikan dari luar negeri yg jelas2 karakter orangnya berbeda y mau berhasil dari mana<br>sedangkan pemerintah kita hanya mengadopsi sistemnya saja tanpa meyetarakan fasilitas sekolahnya,2024-10-19T01:18:09Z
@LLLLlll__0000,"Beljar sendiri, tujuan merdeka itu, kalo gak mau minta diajarain simpanse aja, mereka lebih jago kayaknya",2024-10-19T01:16:09Z
@clydere,"Mw dibuat rangking,mw UN ada lagi,mw zonasi hilang tp klo kesehjateraan guru rendah,fasilitas tidak merata maka hasilnya akan sama saja.Porsi duit belanja pegawai APBN/APBD diperbesar untuk profesi guru..hapus guru honorer..beri standard tinggi utk yg ingin ambil profesi guru tetapi berikan apresiasi yang tinggi jg.lebih tinggi drpd kepala2 dinas itu...<br>Dosa itu bukan milik kemendikbud pusat saja tetapi perangkat2 daerah yg enggan memberikan apresiasi tinggi ke Guru jg punya dosa yg sama.<br>Saya percaya seorang guru yang sejahtera maka pendidikan kita akan jauh lebih baik.",2024-10-19T01:08:54Z
@cloudynoise22,"Ada yang lebih miris,aku pernah lihat video di mana ada anak sma baca bilangan saja gak bisa.<br>Kedua ini emang real di kehidupanku contoh nih,tetanggaku punya anak sudah kelas 3 smp.<br>Kalian tau apa yang bikin lucu ? Ya aku tanyain kepanjangan dari SMP itu apa.<br>Dia jawabnya belit-belit dan ujung-ujungnya nggak tau.<br>Sumpah bro dalam hati aku merasa miris sendiri lihat kondisi pendidikan sekarang,kadang aku berpikir ini salah pendidikannya apa memang anaknya yang maaf kata ya &quot;BODOH&quot;",2024-10-19T01:06:08Z
